"pop_code","VT","IH"
"CHL",0.0226997751742601,0.103367641568184
"CLK",0.114996626973152,0.0379146337509155
"CPL",0.0452034249901772,0.0783809348940849
"DCK",0.106804028153419,0.0388271361589432
"DPR",0.0234706960618496,0.0868953764438629
"GAM",0.0763640031218529,0.0495464168488979
"HBY",0.111170440912247,0.0396243967115879
"HST",0.0875176340341568,0.0427697151899338
"KAP",0.0729288160800934,0.0538779534399509
"LON",0.0248494818806648,0.109285295009613
"LPD",0.024618424475193,0.0995704755187035
"MMT",0.0901845991611481,0.041516974568367
"NBY",0.0281359516084194,0.0886605679988861
"NIC",0.0154341943562031,0.0931785851716995
"OFR",0.112686663866043,0.0421510078012943
"OUT",0.0993073955178261,0.0429619587957859
"SKN",0.108172364532948,0.0424341559410095
"SLC",0.019782517105341,0.0970923900604248
"SSR",0.0578767918050289,0.110552184283733
"TIM",0.0629167854785919,0.0642614737153053
"TUR",0.112717092037201,0.0445705987513065
"USDA1",0.0299221985042095,0.0795294642448425
"USDA10",0.0373073294758797,0.0843810737133026
"USDA12",0.0328348577022552,0.085941381752491
"USDA13",0.0209221486002207,0.0876007154583931
"USDA14",0.0308946538716555,0.0895785242319107
"USDA15",0.0267786961048841,0.0936668142676353
"USDA16",0.0244978442788124,0.0932997390627861
"USDA17",0.0216912496834993,0.0965069308876991
"USDA18",0.0221176147460938,0.0923717319965363
"USDA19",0.0318411067128181,0.0776694640517235
"USDA2",0.0272715613245964,0.0860815495252609
"USDA21",0.0338141359388828,0.0755439177155495
"USDA3",0.0407238714396954,0.0803905129432678
"USDA4",0.0349301174283028,0.0703020915389061
"USDA5",0.0442643463611603,0.0724833384156227
"USDA6",0.0400083847343922,0.0688271224498749
"USDA7",0.0441141165792942,0.0593070909380913
"USDA8",0.0455372706055641,0.0597367659211159
"USDA9",0.0421280674636364,0.064888522028923
"VER",0.0256832782179117,0.100912727415562
"WTR",0.0672606974840164,0.0609468072652817
