"pop_code","VT","IH"
"CHL",0.0201054196804762,0.0932810381054878
"CLK",0.0988086760044098,0.0327683240175247
"CPL",0.0386343821883202,0.0704905912280083
"DCK",0.0945598930120468,0.0354400351643562
"DPR",0.0200454071164131,0.0789413750171661
"GAM",0.0699907392263412,0.0428031943738461
"HBY",0.097870260477066,0.0362687520682812
"HST",0.0788569673895836,0.0391315408051014
"KAP",0.0663746222853661,0.0479446277022362
"LON",0.0227471701800823,0.0989354625344276
"LPD",0.0217862278223038,0.0897184535861015
"MMT",0.0815215781331062,0.0364396497607231
"NBY",0.0244828667491674,0.0808731317520142
"NIC",0.0145367365330458,0.0828219205141068
"OFR",0.0978103578090668,0.0369199365377426
"OUT",0.0858249217271805,0.0385654680430889
"SKN",0.0934039875864983,0.0370998121798038
"SLC",0.0183744560927153,0.0876282155513763
"SSR",0.0522614829242229,0.099252738058567
"TIM",0.0560877807438374,0.0568220056593418
"TUR",0.0971643999218941,0.0389934331178665
"USDA1",0.0261563025414944,0.0710514113306999
"USDA10",0.0311883427202702,0.0756513252854347
"USDA12",0.0270449612289667,0.077201209962368
"USDA13",0.0180959589779377,0.078583687543869
"USDA14",0.0253698136657476,0.0811751261353493
"USDA15",0.0217171292752028,0.0848018378019333
"USDA16",0.0200854204595089,0.0843549221754074
"USDA17",0.0178465265780687,0.0868362039327621
"USDA18",0.0186297483742237,0.082546778023243
"USDA19",0.0289016515016556,0.0690952017903328
"USDA2",0.0241178162395954,0.0767000764608383
"USDA21",0.0309297889471054,0.0668304339051247
"USDA3",0.0348768793046474,0.0715036615729332
"USDA4",0.0311005283147097,0.0621344186365604
"USDA5",0.0390179604291916,0.0637893825769424
"USDA6",0.0356216691434383,0.0606786049902439
"USDA7",0.038710955530405,0.0527566634118557
"USDA8",0.0413481891155243,0.0524288490414619
"USDA9",0.0382938869297504,0.0571497045457363
"VER",0.0234051439911127,0.0911188572645187
"WTR",0.060570240020752,0.0537952929735184
