"pop_code","VT","IH"
"CHL",0.0189476404339075,0.099463514983654
"CLK",0.102923192083836,0.0290663130581379
"CPL",0.0387299060821533,0.0769303664565086
"DCK",0.0992859080433846,0.0340027362108231
"DPR",0.0187787786126137,0.086219847202301
"GAM",0.0746933743357658,0.0434939153492451
"HBY",0.101597048342228,0.0338832139968872
"HST",0.0889604538679123,0.0366970561444759
"KAP",0.0712402313947678,0.0492361225187778
"LON",0.0206385031342506,0.104493275284767
"LPD",0.019871162250638,0.096990779042244
"MMT",0.0905324891209602,0.0349785126745701
"NBY",0.022331802174449,0.0876775532960892
"NIC",0.0132318688556552,0.0906179770827293
"OFR",0.101613461971283,0.0347638539969921
"OUT",0.0924123972654343,0.0370764099061489
"SKN",0.0984761118888855,0.0352856107056141
"SLC",0.0170787740498781,0.0948148891329765
"SSR",0.0477359443902969,0.103903025388718
"TIM",0.0604092590510845,0.0608862973749638
"TUR",0.100788027048111,0.0371336229145527
"USDA1",0.0232145879417658,0.0790695324540138
"USDA10",0.0297741368412971,0.0835229456424713
"USDA12",0.0259900782257318,0.084746889770031
"USDA13",0.0165545418858528,0.0863161310553551
"USDA14",0.0243773963302374,0.0879731774330139
"USDA15",0.0195148419588804,0.0909635946154594
"USDA16",0.0178428012877703,0.091162770986557
"USDA17",0.0157776568084955,0.0931776911020279
"USDA18",0.0159332752227783,0.0902563482522964
"USDA19",0.0254757795482874,0.0775606483221054
"USDA2",0.0209069717675447,0.0850747227668762
"USDA21",0.0265753753483295,0.0762967318296432
"USDA3",0.0331952348351479,0.0799354985356331
"USDA4",0.0284981913864613,0.070323072373867
"USDA5",0.0369526632130146,0.0726962015032768
"USDA6",0.0325569435954094,0.0684181675314903
"USDA7",0.0399957112967968,0.0568979158997536
"USDA8",0.042127076536417,0.0580121390521526
"USDA9",0.038463331758976,0.0632796883583069
"VER",0.0213732365518808,0.097845047712326
"WTR",0.0646787062287331,0.0567852519452572
