"pop_code","VT","IH"
"CHL",0.0383719019591808,0.108473487198353
"CLK",0.159746527671814,0.0825871303677559
"CPL",0.0520473532378674,0.0885521024465561
"DCK",0.144396737217903,0.0662161931395531
"DPR",0.0244051292538643,0.0887064188718796
"GAM",0.0829253643751144,0.0702013447880745
"HBY",0.170683592557907,0.0878681540489197
"HST",0.0887864604592323,0.0620663240551949
"KAP",0.0783997774124146,0.0709193497896194
"LON",0.0401075147092342,0.11647255718708
"LPD",0.0252269189804792,0.0938197001814842
"MMT",0.0830957815051079,0.053506463766098
"NBY",0.0289411395788193,0.0920541882514954
"NIC",0.0145375952124596,0.0884316936135292
"OFR",0.169865116477013,0.087701715528965
"OUT",0.135532826185226,0.0949359610676765
"SKN",0.162993416190147,0.103328824043274
"SLC",0.0196542628109455,0.0943929627537727
"SSR",0.114946931600571,0.140380814671516
"TIM",0.065315417945385,0.0769869238138199
"TUR",0.159263536334038,0.0848029106855392
"USDA1",0.0268387775868177,0.0835583657026291
"USDA10",0.0446537472307682,0.0878787115216255
"USDA12",0.0329259149730206,0.0864486023783684
"USDA13",0.0242768060415983,0.0865546837449074
"USDA14",0.0291574131697416,0.0897970572113991
"USDA15",0.0263316184282303,0.0917429476976395
"USDA16",0.0252494104206562,0.0904146283864975
"USDA17",0.023584745824337,0.092137448489666
"USDA18",0.0247391927987337,0.0883328169584274
"USDA19",0.0275897476822138,0.0823727771639824
"USDA2",0.0268529821187258,0.0848890542984009
"USDA21",0.0283117201179266,0.0815123543143272
"USDA3",0.0456419624388218,0.086171492934227
"USDA4",0.0282217636704445,0.0790695995092392
"USDA5",0.0390245616436005,0.078098252415657
"USDA6",0.0315274111926556,0.0786154642701149
"USDA7",0.0308747906237841,0.074941486120224
"USDA8",0.0449779219925404,0.0722869262099266
"USDA9",0.0442313328385353,0.0748440474271774
"VER",0.025764387100935,0.0957266911864281
"WTR",0.0736173763871193,0.080449290573597
